Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Wage/Salaries,36200,Female,49,1
Wage/Salaries,29300,Male,40,2
Wage/Salaries,425,Male,39,3
Wage/Salaries,300,Male,52,2
Wage/Salaries,0,Male,65,2
Wage/Salaries,0,Male,46,3
Wage/Salaries,0,Male,45,1
Other sources of Income,50,Male,33,0
Other sources of Income,8000,Female,17,0
Enterpreneurial Activities,13180,Male,53,1
Enterpreneurial Activities,750,Male,49,1
Wage/Salaries,250,Male,35,5
Enterpreneurial Activities,960,Male,38,2
Enterpreneurial Activities,0,Male,53,0
Other sources of Income,0,Male,75,0
Other sources of Income,375,Female,36,0
Wage/Salaries,470,Male,67,1
Wage/Salaries,350,Male,57,1
Enterpreneurial Activities,0,Female,63,3
Enterpreneurial Activities,215,Male,40,1
Enterpreneurial Activities,8060,Male,60,2
Enterpreneurial Activities,800,Male,62,2
Other sources of Income,5960,Male,45,1
Wage/Salaries,200,Male,41,1
Enterpreneurial Activities,225,Male,43,1
Enterpreneurial Activities,150,Male,45,1
Other sources of Income,0,Male,61,0
Enterpreneurial Activities,0,Male,45,0
Enterpreneurial Activities,200,Female,58,2
Enterpreneurial Activities,3000,Male,34,0
Other sources of Income,0,Male,67,0
Enterpreneurial Activities,760,Male,34,2
Enterpreneurial Activities,0,Male,25,0
Wage/Salaries,0,Male,29,1
Wage/Salaries,14800,Male,53,2
Wage/Salaries,0,Female,83,4
Other sources of Income,0,Female,90,0
Enterpreneurial Activities,11900,Male,52,3
Wage/Salaries,380,Male,78,2
Other sources of Income,5100,Female,79,2
Enterpreneurial Activities,7000,Female,60,1
Enterpreneurial Activities,9600,Male,63,2
Wage/Salaries,100,Male,65,2
Wage/Salaries,0,Male,48,1
Wage/Salaries,82000,Male,54,2
Wage/Salaries,5500,Male,41,1
Wage/Salaries,8600,Male,40,1
Enterpreneurial Activities,6000,Male,29,0
Enterpreneurial Activities,0,Male,52,1
Wage/Salaries,17000,Male,49,2
Other sources of Income,6000,Male,65,1
Enterpreneurial Activities,22500,Male,75,1
Other sources of Income,0,Male,67,0
Enterpreneurial Activities,5500,Female,36,0
Other sources of Income,5150,Male,53,2
Wage/Salaries,200,Female,35,2
Wage/Salaries,34900,Male,63,2
Enterpreneurial Activities,0,Female,69,0
Other sources of Income,280,Male,28,1
Wage/Salaries,300,Male,56,2
Wage/Salaries,0,Male,66,1
Wage/Salaries,400,Male,37,1
Other sources of Income,100,Female,21,0
Wage/Salaries,11957,Female,60,2
Other sources of Income,0,Male,41,1
Wage/Salaries,600,Male,45,3
Wage/Salaries,1650,Male,37,2
Wage/Salaries,0,Male,51,1
Wage/Salaries,0,Male,51,2
Wage/Salaries,0,Male,26,2
Wage/Salaries,2350,Male,38,1
Wage/Salaries,100,Male,38,2
Wage/Salaries,0,Male,53,3
Wage/Salaries,550,Male,68,1
Other sources of Income,700,Male,34,3
Wage/Salaries,600,Male,62,3
Other sources of Income,300,Male,50,2
Other sources of Income,0,Male,43,0
Wage/Salaries,500,Male,46,2
Enterpreneurial Activities,12300,Male,63,1
Wage/Salaries,0,Male,64,1
Other sources of Income,0,Male,60,3
Other sources of Income,0,Male,45,0
Wage/Salaries,600,Male,45,2
Other sources of Income,50,Male,32,1
Wage/Salaries,0,Male,55,2
Enterpreneurial Activities,150,Male,63,1
Other sources of Income,600,Male,36,1
Wage/Salaries,3850,Male,42,4
Other sources of Income,0,Female,65,0
Other sources of Income,280,Male,38,1
Other sources of Income,0,Female,55,0
Other sources of Income,10100,Male,52,2
Other sources of Income,0,Male,72,1
Enterpreneurial Activities,5870,Male,48,3
Wage/Salaries,18000,Male,62,1
Other sources of Income,200,Male,50,3
Wage/Salaries,0,Female,60,3
Other sources of Income,6900,Female,77,0
Enterpreneurial Activities,6000,Male,65,0
Enterpreneurial Activities,150,Male,50,3
Other sources of Income,150,Male,36,0
Other sources of Income,1080,Male,31,0
Other sources of Income,0,Female,83,0
Wage/Salaries,230,Male,65,1
Wage/Salaries,1500,Male,46,3
Other sources of Income,300,Male,35,0
Enterpreneurial Activities,200,Male,38,2
Enterpreneurial Activities,0,Male,53,2
Enterpreneurial Activities,0,Male,43,1
Enterpreneurial Activities,10000,Male,53,1
Wage/Salaries,0,Female,86,1
Enterpreneurial Activities,220,Male,38,0
Enterpreneurial Activities,0,Male,83,0
Wage/Salaries,22050,Male,38,1
Wage/Salaries,630,Male,41,1
Enterpreneurial Activities,300,Male,64,0
Other sources of Income,0,Female,79,0
Other sources of Income,0,Female,69,2
Enterpreneurial Activities,300,Male,45,1
Other sources of Income,300,Male,30,1
Wage/Salaries,300,Male,35,2
Other sources of Income,290,Female,29,1
Wage/Salaries,260,Male,58,2
Other sources of Income,4500,Male,39,0
Other sources of Income,150,Male,36,0
Wage/Salaries,150,Male,56,3
Wage/Salaries,0,Male,55,3
Other sources of Income,360,Male,46,1
Wage/Salaries,0,Female,85,2
Wage/Salaries,9000,Male,46,4
Other sources of Income,0,Male,71,0
Wage/Salaries,0,Male,48,2
Wage/Salaries,50,Female,35,1
Wage/Salaries,1410,Male,36,2
Wage/Salaries,500,Male,41,1
Other sources of Income,0,Male,65,2
Wage/Salaries,7900,Male,56,0
Enterpreneurial Activities,9000,Male,54,0
Other sources of Income,0,Female,80,0
Other sources of Income,0,Female,83,0
Other sources of Income,750,Male,32,0
Enterpreneurial Activities,600,Male,42,0
Enterpreneurial Activities,150,Female,55,2
Wage/Salaries,950,Male,35,1
Wage/Salaries,600,Male,37,2
Other sources of Income,830,Male,35,2
Enterpreneurial Activities,2100,Male,30,1
Other sources of Income,0,Male,31,0
Enterpreneurial Activities,650,Male,35,0
Wage/Salaries,150,Male,46,1
Enterpreneurial Activities,0,Male,51,0
Other sources of Income,350,Male,67,0
Enterpreneurial Activities,100,Male,72,1
Other sources of Income,1650,Male,46,0
Enterpreneurial Activities,150,Male,66,4
Wage/Salaries,0,Female,48,1
Other sources of Income,2200,Male,65,0
Enterpreneurial Activities,0,Female,53,0
Enterpreneurial Activities,150,Male,46,0
Enterpreneurial Activities,150,Male,50,1
Enterpreneurial Activities,35,Male,65,1
Other sources of Income,3991,Male,67,0
Enterpreneurial Activities,2360,Male,60,1
Enterpreneurial Activities,0,Male,33,1
Enterpreneurial Activities,0,Female,78,0
Enterpreneurial Activities,250,Female,49,0
Enterpreneurial Activities,300,Male,46,1
Other sources of Income,4800,Male,60,0
Enterpreneurial Activities,0,Male,70,1
Other sources of Income,0,Male,70,2
Wage/Salaries,0,Male,51,2
Other sources of Income,150,Male,45,0
Wage/Salaries,0,Male,50,1
Enterpreneurial Activities,2600,Male,53,3
Enterpreneurial Activities,0,Male,75,1
Wage/Salaries,300,Male,32,1
Other sources of Income,150,Male,41,0
Wage/Salaries,4000,Male,39,1
Wage/Salaries,5600,Male,48,2
Enterpreneurial Activities,0,Male,78,1
Enterpreneurial Activities,150,Male,31,0
Wage/Salaries,1400,Male,81,3
Wage/Salaries,1270,Male,52,3
Wage/Salaries,3650,Male,43,2
Other sources of Income,15500,Male,54,0
Wage/Salaries,32350,Male,42,1
Wage/Salaries,0,Male,68,1
Wage/Salaries,700,Male,34,1
Wage/Salaries,1800,Male,51,1
Enterpreneurial Activities,0,Female,33,0
Wage/Salaries,6830,Male,45,2
Wage/Salaries,8160,Male,42,2
Other sources of Income,1450,Male,33,2
Other sources of Income,2500,Male,42,0
Wage/Salaries,3150,Male,38,1
Wage/Salaries,13400,Male,47,2
Other sources of Income,0,Female,75,0
Enterpreneurial Activities,370,Male,56,2
Wage/Salaries,410,Male,54,3
Wage/Salaries,0,Male,32,2
Wage/Salaries,239,Male,56,4
Other sources of Income,0,Male,31,1
Other sources of Income,15185,Male,40,1
Enterpreneurial Activities,0,Male,53,3
Wage/Salaries,1400,Female,46,2
Wage/Salaries,150,Male,39,3
Wage/Salaries,100,Male,54,3
Wage/Salaries,0,Male,68,2
Other sources of Income,1300,Male,43,0
Wage/Salaries,0,Male,56,2
Other sources of Income,0,Male,48,2
Other sources of Income,0,Male,78,0
Enterpreneurial Activities,600,Male,59,4
Enterpreneurial Activities,0,Female,47,0
Enterpreneurial Activities,2600,Male,59,1
Wage/Salaries,320,Male,48,1
Other sources of Income,0,Male,54,0
Wage/Salaries,0,Male,56,1
Enterpreneurial Activities,0,Male,62,0
Enterpreneurial Activities,0,Male,58,1
Other sources of Income,0,Female,54,0
Enterpreneurial Activities,0,Male,48,3
Other sources of Income,1150,Male,65,2
Other sources of Income,0,Male,87,0
Wage/Salaries,100,Male,29,2
Enterpreneurial Activities,200,Male,56,1
Other sources of Income,600,Female,47,0
Wage/Salaries,575,Male,39,1
Wage/Salaries,350,Female,45,7
Wage/Salaries,690,Male,45,1
Wage/Salaries,0,Male,59,5
Enterpreneurial Activities,0,Male,72,1
Enterpreneurial Activities,0,Male,54,2
Wage/Salaries,60,Male,35,2
Wage/Salaries,1930,Male,49,3
Enterpreneurial Activities,0,Male,56,0
Enterpreneurial Activities,0,Male,58,2
Wage/Salaries,229,Male,58,2
Other sources of Income,0,Female,60,1
Other sources of Income,0,Male,76,0
Wage/Salaries,375,Male,34,2
Other sources of Income,2700,Male,49,2
Enterpreneurial Activities,520,Female,99,0
Wage/Salaries,600,Male,42,1
Enterpreneurial Activities,0,Male,28,1
Enterpreneurial Activities,0,Male,61,0
Wage/Salaries,0,Female,57,3
Other sources of Income,0,Female,67,1
Other sources of Income,530,Male,42,0
Other sources of Income,500,Male,86,0
Enterpreneurial Activities,0,Male,41,1
Other sources of Income,300,Male,34,3
Other sources of Income,0,Male,65,1
Wage/Salaries,870,Male,64,3
Enterpreneurial Activities,0,Female,75,0
Other sources of Income,2750,Male,67,1
Enterpreneurial Activities,0,Male,55,1
Wage/Salaries,0,Male,25,1
Enterpreneurial Activities,0,Female,59,0
Wage/Salaries,370,Male,76,0
Wage/Salaries,200,Male,68,1
Other sources of Income,600,Female,28,1
Wage/Salaries,15026,Male,48,2
Other sources of Income,0,Male,76,0
Other sources of Income,1800,Female,63,1
Wage/Salaries,350,Male,56,2
Wage/Salaries,520,Female,75,2
Wage/Salaries,12300,Male,59,1
Wage/Salaries,1110,Male,55,2
Enterpreneurial Activities,560,Male,78,0
Enterpreneurial Activities,2410,Female,39,1
Other sources of Income,0,Female,62,3
Other sources of Income,650,Male,68,4
Wage/Salaries,260,Male,54,3
Other sources of Income,0,Male,49,0
Wage/Salaries,0,Male,66,1
Other sources of Income,0,Female,55,0
Other sources of Income,3030,Male,36,0
Wage/Salaries,470,Male,46,5
Wage/Salaries,0,Male,57,1
Other sources of Income,235,Male,34,3
Wage/Salaries,500,Male,84,1
Wage/Salaries,475,Female,45,3
Other sources of Income,0,Male,66,0
Enterpreneurial Activities,0,Male,79,0
Other sources of Income,0,Male,67,0
Enterpreneurial Activities,623,Male,35,1
Wage/Salaries,780,Male,34,1
Wage/Salaries,420,Male,35,1
Wage/Salaries,1235,Male,43,2
Wage/Salaries,1310,Female,50,4
Wage/Salaries,130,Female,81,1
Wage/Salaries,75,Male,36,2
Enterpreneurial Activities,0,Male,58,0
Wage/Salaries,29284,Male,42,1
Wage/Salaries,64700,Female,62,2
Enterpreneurial Activities,23584,Male,42,0
Wage/Salaries,0,Male,42,1
Wage/Salaries,125,Male,38,1
Wage/Salaries,2990,Male,52,2
Other sources of Income,0,Female,71,0
Enterpreneurial Activities,0,Male,38,0
Wage/Salaries,3950,Male,42,1
Wage/Salaries,7596,Male,41,1
Wage/Salaries,9070,Male,41,1
Wage/Salaries,51200,Male,44,1
Wage/Salaries,0,Male,68,1
